Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
2,3,19913,6759,13462,1256,5141,834
1,3,2446,7260,3993,5870,788,3095
1,3,8352,2820,1293,779,656,144
1,3,16705,2037,3202,10643,116,1365
1,3,18291,1266,21042,5373,4173,14472
1,3,4420,5139,2661,8872,1321,181
2,3,19899,5332,8713,8132,764,648
2,3,8190,6343,9794,1285,1901,1780
1,3,20398,1137,3,4407,3,975
1,3,717,3587,6532,7530,529,894
2,3,12205,12697,28540,869,12034,1009
1,3,10766,1175,2067,2096,301,167
1,3,1640,3259,3655,868,1202,1653
1,3,7005,829,3009,430,610,529
2,3,219,9540,14403,283,7818,156
2,3,10362,9232,11009,737,3537,2342
1,3,20874,1563,1783,2320,550,772
2,3,11867,3327,4814,1178,3837,120
2,3,16117,46197,92780,1026,40827,2944
2,3,22925,73498,32114,987,20070,903
1,3,43265,5025,8117,6312,1579,14351
1,3,7864,542,4042,9735,165,46
1,3,24904,3836,5330,3443,454,3178
1,3,11405,596,1638,3347,69,360
1,3,12754,2762,2530,8693,627,1117
2,3,9198,27472,32034,3232,18906,5130
1,3,11314,3090,2062,35009,71,2698
2,3,5626,12220,11323,206,5038,244
1,3,3,2920,6252,440,223,709
2,3,23,2616,8118,145,3874,217
1,3,403,254,610,774,54,63
1,3,503,112,778,895,56,132
1,3,9658,2182,1909,5639,215,323
2,3,11594,7779,12144,3252,8035,3029
2,3,1420,10810,16267,1593,6766,1838
2,3,2932,6459,7677,2561,4573,1386
1,3,56082,3504,8906,18028,1480,2498
1,3,14100,2132,3445,1336,1491,548
1,3,15587,1014,3970,910,139,1378
2,3,1454,6337,10704,133,6830,1831
2,3,8797,10646,14886,2471,8969,1438
2,3,1531,8397,6981,247,2505,1236
2,3,1406,16729,28986,673,836,3
1,3,11818,1648,1694,2276,169,1647
2,3,12579,11114,17569,805,6457,1519
1,3,19046,2770,2469,8853,483,2708
1,3,14438,2295,1733,3220,585,1561
1,3,18044,1080,2000,2555,118,1266
1,3,11134,793,2988,2715,276,610
1,3,11173,2521,3355,1517,310,222
1,3,6990,3880,5380,1647,319,1160
1,3,20049,1891,2362,5343,411,933
1,3,8258,2344,2147,3896,266,635
1,3,17160,1200,3412,2417,174,1136
1,3,4020,3234,1498,2395,264,255
1,3,12212,201,245,1991,25,860
2,3,11170,10769,8814,2194,1976,143
1,3,36050,1642,2961,4787,500,1621
1,3,76237,3473,7102,16538,778,918
1,3,19219,1840,1658,8195,349,483
2,3,21465,7243,10685,880,2386,2749
1,3,140,8847,3823,142,1062,3
1,3,42312,926,1510,1718,410,1819
1,3,7149,2428,699,6316,395,911
1,3,2101,589,314,346,70,310
1,3,14903,2032,2479,576,955,328
1,3,9434,1042,1235,436,256,396
1,3,7388,1882,2174,720,47,537
1,3,6300,1289,2591,1170,199,326
1,3,4625,8579,7030,4575,2447,1542
1,3,3087,8080,8282,661,721,36
1,3,13537,4257,5034,155,249,3271
1,3,5387,4979,3343,825,637,929
1,3,17623,4280,7305,2279,960,2616
1,3,30379,13252,5189,321,51,1450
1,3,37036,7152,8253,2995,20,3
1,3,10405,1596,1096,8425,399,318
1,3,18827,3677,1988,118,516,201
2,3,22039,8384,34792,42,12591,4430
1,3,7769,1936,2177,926,73,520
1,3,9203,3373,2707,1286,1082,526
1,3,5924,584,542,4052,283,434
1,3,31812,1433,1651,800,113,1440
1,3,16225,1825,1765,853,170,1067
1,3,1289,3328,2022,531,255,1774
1,3,18840,1371,3135,3001,352,184
1,3,3463,9250,2368,779,302,1627
1,3,622,55,137,75,7,8
2,3,1989,10690,19460,233,11577,2153
2,3,3830,5291,14855,317,6694,3182
1,3,17773,1366,2474,3378,811,418
2,3,2861,6570,9618,930,4004,1682
2,3,355,7704,14682,398,8077,303
2,3,1725,3651,12822,824,4424,2157
1,3,12434,540,283,1092,3,2233
1,3,15177,2024,3810,2665,232,610
2,3,5531,15726,26870,2367,13726,446
2,3,5224,7603,8584,2540,3674,238
2,3,15615,12653,19858,4425,7108,2379
2,3,4822,6721,9170,993,4973,3637
1,3,2926,3195,3268,405,1680,693
1,3,5809,735,803,1393,79,429
1,3,5414,717,2155,2399,69,750
2,3,260,8675,13430,1116,7015,323
2,3,200,25862,19816,651,8773,6250
1,3,955,5479,6536,333,2840,707
2,3,514,7677,19805,937,9836,716
1,3,286,1208,5241,2515,153,1442
2,3,2343,7845,11874,52,4196,1697
1,3,45640,6958,6536,7368,1532,230
1,3,12759,7330,4533,1752,20,2631
1,3,11002,7075,4945,1152,120,395
1,3,3157,4888,2500,4477,273,2165
1,3,12356,6036,8887,402,1382,2794
1,3,112151,29627,18148,16745,4948,8550
1,3,694,8533,10518,443,6907,156
1,3,36847,43950,20170,36534,239,47943
1,3,327,918,4710,74,334,11
1,3,8170,6448,1139,2181,58,247
1,3,3009,521,854,3470,949,727
1,3,2438,8002,9819,6269,3459,3
2,3,8040,7639,11687,2758,6839,404
2,3,834,11577,11522,275,4027,1856
1,3,16936,6250,1981,7332,118,64
1,3,13624,295,1381,890,43,84
1,3,5509,1461,2251,547,187,409
2,3,180,3485,20292,959,5618,666
1,3,7107,1012,2974,806,355,1142
1,3,17023,5139,5230,7888,330,1755
1,1,30624,7209,4897,18711,763,2876
2,1,2427,7097,10391,1127,4314,1468
1,1,11686,2154,6824,3527,592,697
1,1,9670,2280,2112,520,402,347
2,1,3067,13240,23127,3941,9959,731
2,1,4484,14399,24708,3549,14235,1681
1,1,25203,11487,9490,5065,284,6854
1,1,583,685,2216,469,954,18
1,1,1956,891,5226,1383,5,1328
2,1,1107,11711,23596,955,9265,710
1,1,6373,780,950,878,288,285
2,1,2541,4737,6089,2946,5316,120
1,1,1537,3748,5838,1859,3381,806
2,1,5550,12729,16767,864,12420,797
1,1,18567,1895,1393,1801,244,2100
2,1,12119,28326,39694,4736,19410,2870
1,1,7291,1012,2062,1291,240,1775
1,1,3317,6602,6861,1329,3961,1215
2,1,2362,6551,11364,913,5957,791
1,1,2806,10765,15538,1374,5828,2388
2,1,2532,16599,36486,179,13308,674
1,1,18044,1475,2046,2532,130,1158
2,1,18,7504,15205,1285,4797,6372
1,1,4155,367,1390,2306,86,130
1,1,14755,899,1382,1765,56,749
1,1,5396,7503,10646,91,4167,239
1,1,5041,1115,2856,7496,256,375
2,1,2790,2527,5265,5612,788,1360
1,1,7274,659,1499,784,70,659
1,1,12680,3243,4157,660,761,786
2,1,20782,5921,9212,1759,2568,1553
1,1,4042,2204,1563,2286,263,689
1,1,1869,577,572,950,4762,203
1,1,8656,2746,2501,6845,694,980
2,1,11072,5989,5615,8321,955,2137
1,1,2344,10678,3828,1439,1566,490
1,1,25962,1780,3838,638,284,834
1,1,964,4984,3316,937,409,7
1,1,15603,2703,3833,4260,325,2563
1,1,1838,6380,2824,1218,1216,295
1,1,8635,820,3047,2312,415,225
1,1,18692,3838,593,4634,28,1215
1,1,7363,475,585,1112,72,216
1,1,47493,2567,3779,5243,828,2253
1,1,22096,3575,7041,11422,343,2564
1,1,24929,1801,2475,2216,412,1047
1,1,18226,659,2914,3752,586,578
1,1,11210,3576,5119,561,1682,2398
1,1,6202,7775,10817,1183,3143,1970
2,1,3062,6154,13916,230,8933,2784
1,1,8885,2428,1777,1777,430,610
1,1,13569,346,489,2077,44,659
1,1,15671,5279,2406,559,562,572
1,1,8040,3795,2070,6340,918,291
1,1,3191,1993,1799,1730,234,710
2,1,6134,23133,33586,6746,18594,5121
1,1,6623,1860,4740,7683,205,1693
1,1,29526,7961,16966,432,363,1391
1,1,10379,17972,4748,4686,1547,3265
1,1,31614,489,1495,3242,111,615
1,1,11092,5008,5249,453,392,373
1,1,8475,1931,1883,5004,3593,987
1,1,56083,4563,2124,6422,730,3321
1,1,53205,4959,7336,3012,967,818
1,1,9193,4885,2157,327,780,548
1,1,7858,1110,1094,6818,49,287
1,1,23257,1372,1677,982,429,655
1,1,2153,1115,6684,4324,2894,411
2,1,1073,9679,15445,61,5980,1265
1,1,5909,23527,13699,10155,830,3636
2,1,572,9763,22182,2221,4882,2563
1,1,20893,1222,2576,3975,737,3628
2,1,11908,8053,19847,1069,6374,698
1,1,15218,258,1138,2516,333,204
1,1,4720,1032,975,5500,197,56
1,1,2083,5007,1563,1120,147,1550
1,1,514,8323,6869,529,93,1040
1,3,36817,3045,1493,4802,210,1824
1,3,894,1703,1841,744,759,1153
1,3,680,1610,223,862,96,379
1,3,27901,3749,6964,4479,603,2503
1,3,9061,829,683,16919,621,139
1,3,11693,2317,2543,5845,274,1409
2,3,17360,6200,9694,1293,3620,1721
1,3,3366,2884,2431,977,167,1104
2,3,12238,7108,6235,1093,2328,2079
1,3,49063,3965,4252,5970,1041,1404
1,3,25767,3613,2013,10303,314,1384
1,3,68951,4411,12609,8692,751,2406
1,3,40254,640,3600,1042,436,18
1,3,7149,2247,1242,1619,1226,128
1,3,15354,2102,2828,8366,386,1027
1,3,16260,594,1296,848,445,258
1,3,42786,286,471,1388,32,22
1,3,2708,2160,2642,502,965,1522
1,3,6022,3354,3261,2507,212,686
1,3,2838,3086,4329,3838,825,1060
2,2,3996,11103,12469,902,5952,741
1,2,21273,2013,6550,909,811,1854
2,2,7588,1897,5234,417,2208,254
1,2,19087,1304,3643,3045,710,898
2,2,8090,3199,6986,1455,3712,531
2,2,6758,4560,9965,934,4538,1037
1,2,444,879,2060,264,290,259
2,2,16448,6243,6360,824,2662,2005
2,2,5283,13316,20399,1809,8752,172
2,2,2886,5302,9785,364,6236,555
2,2,2599,3688,13829,492,10069,59
2,2,161,7460,24773,617,11783,2410
2,2,243,12939,8852,799,3909,211
2,2,6468,12867,21570,1840,7558,1543
1,2,17327,2374,2842,1149,351,925
1,2,6987,1020,3007,416,257,656
2,2,918,20655,13567,1465,6846,806
1,2,7034,1492,2405,12569,299,1117
1,2,29635,2335,8280,3046,371,117
2,2,2137,3737,19172,1274,17120,142
1,2,9784,925,2405,4447,183,297
1,2,10617,1795,7647,1483,857,1233
2,2,1479,14982,11924,662,3891,3508
1,2,7127,1375,2201,2679,83,1059
1,2,1182,3088,6114,978,821,1637
1,2,11800,2713,3558,2121,706,51
2,2,9759,25071,17645,1128,12408,1625
1,2,1774,3696,2280,514,275,834
1,2,9155,1897,5167,2714,228,1113
1,2,15881,713,3315,3703,1470,229
1,2,13360,944,11593,915,1679,573
1,2,25977,3587,2464,2369,140,1092
1,2,32717,16784,13626,60869,1272,5609
1,2,4414,1610,1431,3498,387,834
1,2,542,899,1664,414,88,522
1,2,16933,2209,3389,7849,210,1534
1,2,5113,1486,4583,5127,492,739
1,2,9790,1786,5109,3570,182,1043
2,2,11223,14881,26839,1234,9606,1102
1,2,22321,3216,1447,2208,178,2602
2,2,8565,4980,67298,131,38102,1215
2,2,16823,928,2743,11559,332,3486
2,2,27082,6817,10790,1365,4111,2139
1,2,13970,1511,1330,650,146,778
1,2,9351,1347,2611,8170,442,868
1,2,3,333,7021,15601,15,550
1,2,2617,1188,5332,9584,573,1942
2,3,381,4025,9670,388,7271,1371
2,3,2320,5763,11238,767,5162,2158
1,3,255,5758,5923,349,4595,1328
2,3,1689,6964,26316,1456,15469,37
1,3,3043,1172,1763,2234,217,379
1,3,1198,2602,8335,402,3843,303
2,3,2771,6939,15541,2693,6600,1115
2,3,27380,7184,12311,2809,4621,1022
1,3,3428,2380,2028,1341,1184,665
2,3,5981,14641,20521,2005,12218,445
1,3,3521,1099,1997,1796,173,995
2,3,1210,10044,22294,1741,12638,3137
1,3,608,1106,1533,830,90,195
2,3,117,6264,21203,228,8682,1111
1,3,14039,7393,2548,6386,1333,2341
1,3,190,727,2012,245,184,127
1,3,22686,134,218,3157,9,548
2,3,37,1275,22272,137,6747,110
1,3,759,18664,1660,6114,536,4100
1,3,796,5878,2109,340,232,776
1,3,19746,2872,2006,2601,468,503
1,3,4734,607,864,1206,159,405
1,3,2121,1601,2453,560,179,712
1,3,4627,997,4438,191,1335,314
1,3,2615,873,1524,1103,514,468
2,3,4692,6128,8025,1619,4515,3105
1,3,9561,2217,1664,1173,222,447
1,3,3477,894,534,1457,252,342
1,3,22335,1196,2406,2046,101,558
1,3,6211,337,683,1089,41,296
2,3,39679,3944,4955,1364,523,2235
1,3,20105,1887,1939,8164,716,790
1,3,3884,3801,1641,876,397,4829
2,3,15076,6257,7398,1504,1916,3113
1,3,6338,2256,1668,1492,311,686
1,3,5841,1450,1162,597,476,70
2,3,3136,8630,13586,5641,4666,1426
1,3,38793,3154,2648,1034,96,1242
1,3,3225,3294,1902,282,68,1114
2,3,4048,5164,10391,130,813,179
1,3,28257,944,2146,3881,600,270
1,3,17770,4591,1617,9927,246,532
1,3,34454,7435,8469,2540,1711,2893
1,3,1821,1364,3450,4006,397,361
1,3,10683,21858,15400,3635,282,5120
1,3,11635,922,1614,2583,192,1068
1,3,1206,3620,2857,1945,353,967
1,3,20918,1916,1573,1960,231,961
1,3,9785,848,1172,1677,200,406
1,3,9385,1530,1422,3019,227,684
1,3,3352,1181,1328,5502,311,1000
1,3,2647,2761,2313,907,95,1827
1,3,518,4180,3600,659,122,654
1,3,23632,6730,3842,8620,385,819
1,3,12377,865,3204,1398,149,452
1,3,9602,1316,1263,2921,841,290
2,3,4515,11991,9345,2644,3378,2213
1,3,11535,1666,1428,6838,64,743
1,3,11442,1032,582,5390,74,247
1,3,9612,577,935,1601,469,375
1,3,4446,906,1238,3576,153,1014
1,3,27167,2801,2128,13223,92,1902
1,3,26539,4753,5091,220,10,340
1,3,25606,11006,4604,127,632,288
1,3,18073,4613,3444,4324,914,715
1,3,6884,1046,1167,2069,593,378
1,3,25066,5010,5026,9806,1092,960
2,3,7362,12844,18683,2854,7883,553
2,3,8257,3880,6407,1646,2730,344
1,3,8708,3634,6100,2349,2123,5137
1,3,6633,2096,4563,1389,1860,1892
1,3,2126,3289,3281,1535,235,4365
1,3,97,3605,12400,98,2970,62
1,3,4983,4859,6633,17866,912,2435
1,3,5969,1990,3417,5679,1135,290
2,3,7842,6046,8552,1691,3540,1874
2,3,4389,10940,10908,848,6728,993
1,3,5065,5499,11055,364,3485,1063
2,3,660,8494,18622,133,6740,776
1,3,8861,3783,2223,633,1580,1521
1,3,4456,5266,13227,25,6818,1393
2,3,17063,4847,9053,1031,3415,1784
1,3,26400,1377,4172,830,948,1218
2,3,17565,3686,4657,1059,1803,668
2,3,16980,2884,12232,874,3213,249
1,3,11243,2408,2593,15348,108,1886
1,3,13134,9347,14316,3141,5079,1894
1,3,31012,16687,5429,15082,439,1163
1,3,3047,5970,4910,2198,850,317
1,3,8607,1750,3580,47,84,2501
1,3,3097,4230,16483,575,241,2080
1,3,8533,5506,5160,13486,1377,1498
1,3,21117,1162,4754,269,1328,395
1,3,1982,3218,1493,1541,356,1449
1,3,16731,3922,7994,688,2371,838
1,3,29703,12051,16027,13135,182,2204
1,3,39228,1431,764,4510,93,2346
2,3,14531,15488,30243,437,14841,1867
1,3,10290,1981,2232,1038,168,2125
1,3,2787,1698,2510,65,477,52
3,1,42629,30967,45806,31965,45081,43094
3,2,47054,39168,48102,44680,40186,46571
3,3,36641,39573,34913,34287,49213,46868
2,1,30852,42060,47585,47834,33474,40868
3,3,31820,30069,39929,34341,46951,35061
3,1,48306,39427,33392,47506,47679,34979
2,3,38034,49817,42862,37617,32226,36012
2,3,47785,30634,41302,36457,39026,35932
3,2,49195,48640,39032,36511,32499,45661
1,1,41325,49739,47163,49711,46983,48575
3,3,41460,43595,49554,46631,35207,41302
1,3,33851,40471,43611,33715,35536,43602
1,1,33723,41066,42607,33952,33817,38882
3,2,32084,40556,38309,36117,42216,36637
1,3,34891,49793,49562,48257,32467,34588
1,2,45728,32295,36095,31322,31925,33478
1,1,39274,46319,32950,39145,33677,47203
2,2,34617,37617,47866,37040,35891,40256
2,1,36129,35066,42578,41358,42005,30362
2,1,49380,45330,31319,44334,32788,44649
2,3,32809,37139,33045,47755,34938,33159
1,2,42319,30298,31951,39008,46439,36668
3,1,48863,38113,39326,41522,46268,37359
2,3,36021,44457,36093,37375,35891,40760
2,2,49937,35659,32072,42002,48321,37449
2,2,48138,34336,30584,32964,49057,30261
3,2,46896,39349,34624,32932,40454,40629
3,3,41328,41959,44554,40536,44088,47430
3,2,47060,40005,40066,46983,39731,30203
3,1,41490,33592,38133,30003,42930,37374
2,2,39558,46470,45640,30729,45403,30406
1,2,31377,41731,44756,31348,41660,42129
1,1,45371,40040,46899,45410,42020,30719
2,2,31751,42018,35339,36891,42431,36910
2,2,30283,33592,39891,30061,43852,38912
3,3,42314,39768,37366,36078,35051,35194
3,3,44011,36137,39241,42631,46437,30604
2,2,41759,33134,41379,39858,33737,47444
1,3,30362,34561,33664,38548,49718,44267
2,3,38188,45417,46061,35813,43822,38869
1,3,42381,49628,41484,42684,30620,49461
1,1,43012,42074,30133,34692,32444,32315
3,3,47902,34014,41431,41850,34441,32327
3,1,41418,39155,33699,39934,41221,48088
2,1,42225,37539,34280,43610,43066,43037
1,2,30248,41068,32853,45182,37753,39166
3,2,47899,44405,46685,33864,32969,38743
3,3,43560,41633,35975,35001,35403,47102
1,3,43883,30685,37333,45535,42968,35718
3,3,41521,38593,30237,49873,33586,46783
2,1,32679,47585,41257,44986,34235,32441
2,2,43826,48218,42552,31525,45393,35311
2,3,42552,43348,49725,32729,42075,44123
2,1,49097,35123,42261,48637,39401,48155
2,1,37453,45395,45555,43381,46336,32638
2,3,36161,44163,37894,30736,46016,49729
1,3,49393,32866,41994,47862,39961,32682
2,2,40707,42689,37506,44004,30746,34252
3,1,47806,38696,30819,38202,47597,36119
1,3,40716,33702,34485,38700,44306,35984
1,1,49121,48069,36973,49151,46577,36980
1,2,42653,44087,41066,41968,49951,41390
1,2,38873,49055,45862,30966,41389,49978
1,1,30876,35251,32421,45013,49892,46109
3,1,33255,49328,47979,36641,47813,39510
3,3,32654,37848,41807,48155,37948,36425
3,2,44464,38095,35542,30525,44026,49539
1,1,38957,32783,45019,39754,46682,34256
1,2,43063,47728,34643,48992,38532,48513
2,2,30110,40707,36141,42850,44738,49844
1,2,43805,43920,43636,48065,42117,44229
2,1,48887,33842,38206,41331,45239,46823
1,2,49950,31203,46611,38966,35705,45319
3,2,41655,42548,45816,31801,49999,42969
3,3,41342,43445,34428,48457,45601,44991
1,2,33446,37784,41330,47803,46148,44567
1,1,30653,45518,31703,46587,33878,30589
2,2,49652,39383,40774,44901,49881,43722
2,3,42005,38749,30959,43015,35160,41061
1,1,30140,30035,47359,36541,31112,44244
2,1,44489,44445,36602,42146,34156,49183
3,1,46190,31801,39792,37140,35265,49160
3,1,37768,42594,44284,32826,33141,39200
2,1,31234,38604,46205,40406,31361,31258
2,1,39716,34847,30274,41890,43593,41012
1,2,36221,33626,45607,36074,47205,41923
3,3,38409,36406,46353,44791,38668,30300
2,1,47999,48968,48944,47132,43069,44468
2,1,47387,30199,45746,40364,45595,46302
1,3,47930,35067,36251,48890,44013,47122
1,3,31793,32445,42774,38899,49416,32262
2,2,38412,36332,32559,41379,33656,44242
2,3,47335,41055,32007,36387,37652,33414
1,3,37536,40742,36087,47265,40703,36063
2,3,33652,40124,40043,30373,37341,38867
3,2,38326,49236,47477,41245,49621,30948
3,1,35719,44369,44524,39597,42097,38847
3,2,33573,48218,42821,44047,47668,44099
3,1,39694,30980,39346,49783,46544,37374
1,3,40541,39056,36209,42249,43970,30975
3,3,49659,42063,38593,32439,33568,35149
2,1,41867,45865,35289,48105,34914,47285
3,1,38362,42144,40924,35389,34047,36928
2,1,33369,34085,37705,40761,45117,42745
1,3,39737,45023,33965,34851,37584,31990
1,2,49482,31284,40763,30713,38123,37174
3,3,38781,49525,30898,41316,37300,38927
3,1,49449,47939,38950,44184,43883,31331
3,2,35170,41243,43944,40854,47521,47223
1,1,38658,39303,33770,45090,34222,30058
1,2,44597,35864,35996,42610,43095,32132
1,1,38360,46721,45966,30693,33987,37516
2,3,33090,45308,39054,39957,36402,30135
2,2,41780,34120,33733,38265,33457,45470
3,2,32182,37067,39097,36149,33249,31446
1,2,34607,38246,41172,48534,36188,37696
1,2,46927,42574,43186,37832,46346,31685
3,2,34540,42678,37276,48848,33004,41561
1,1,46353,47767,40889,43565,39736,44563
2,1,46563,44319,34628,30295,44507,45190
1,2,38376,35537,49470,37744,48838,48251
2,3,35405,44322,34914,48377,43565,42606
3,2,44331,41390,41639,44860,36591,31319
2,1,46688,40175,35710,49312,44419,44173
1,2,49018,46311,40902,38426,49228,44068
3,3,41347,31042,31644,39642,41664,40903
1,2,45379,34090,40103,36093,48892,33504
3,1,33848,40066,30921,48180,48269,43886
3,1,42616,32840,43751,47160,31877,44829
3,1,32824,35926,35845,43194,44345,48543
3,3,39859,34262,41818,39545,36364,34121
1,2,33407,36470,45344,30028,37698,32817
2,3,34488,45990,43583,42644,46852,49693
3,2,34862,32688,48006,36114,49828,35237
3,2,38929,46107,40805,38032,40914,44374
1,1,34074,47144,34088,32270,30635,37639
2,3,43787,44011,42250,47209,48056,31448
1,2,42594,30094,40188,34187,37091,44831
2,3,40165,40996,41154,42512,44131,30689
1,2,38705,34331,41020,35019,36842,31347
2,1,44991,36944,49138,42282,31550,31708
2,3,40906,47467,32070,34256,44983,38541
1,1,49653,47977,30220,37815,43942,36828
3,3,39838,34645,31851,49565,39821,35212
3,2,38583,49837,47104,40659,34056,31698
3,2,36853,48906,44142,30457,42830,48966
2,2,47284,39985,46992,46962,31645,46804
1,2,42320,42873,45739,38038,47637,47999
2,2,32726,44926,37498,41522,35664,39531
3,1,48579,48196,36167,32566,45488,45457
1,2,40143,38635,48983,39118,31070,38737
2,1,32681,37029,48986,31178,33116,44909
1,2,38330,32733,45441,37139,47296,38928
3,1,31255,35239,35645,49996,44881,33814
1,2,43154,46598,39882,41325,42829,39316
3,1,30854,30894,32222,33833,45814,49096
1,3,35006,37569,43504,33065,39245,34948
1,3,39412,33759,36781,43988,45637,41087
2,1,48518,44146,34131,34674,32302,41076
2,1,33237,43449,42610,39902,45437,33408
3,1,44816,38788,45888,44283,46509,42378
3,1,32752,34681,40085,38567,37325,38197
3,1,38676,35134,41546,41074,40057,43982
2,2,30644,40940,47848,45026,44107,38325
1,2,46607,31154,42034,45741,42909,49075
3,1,38853,46035,49878,30229,44381,39153
3,3,36807,30615,48216,32117,46326,36640
3,2,32336,47838,41195,31967,44947,46266
2,1,46811,31642,30113,33158,45738,30767
3,1,44345,40558,48658,41846,42192,32577
2,1,35995,47011,39493,30623,37020,49213
1,1,35651,35745,36570,44312,36262,30466
1,2,47873,43753,39629,47815,46464,33672
1,2,32671,43530,31080,30730,43137,36105
3,1,37178,39027,31852,40470,38883,31129
3,2,31963,35719,40368,46737,48835,49045
3,2,32867,49411,49495,45867,34405,38052
1,2,40130,37051,36190,30467,42397,33965
3,3,41256,49778,34767,34093,30090,42442
1,2,34315,31956,40904,37735,39951,43713
1,3,45315,35490,42526,35284,42168,43239
3,2,47546,32756,49922,33851,47517,32628
1,1,45077,44627,35098,41933,45229,48174
2,1,41524,40551,32433,31580,44630,41965
3,3,49630,47608,43565,35819,31912,45453
1,2,35899,40141,32897,48164,40088,40893
2,2,39684,43200,35047,32175,47183,38776
2,1,48185,33701,45272,35507,41908,42230
2,1,43702,40169,41167,46581,38461,36178
3,2,46393,44732,37468,32125,43138,47132
2,3,45715,46551,45184,41942,30776,46069
1,2,37684,36119,34977,35304,37456,42902
3,3,45092,37279,38899,49168,30805,40315
3,1,37628,42563,36035,32500,30036,34305
1,1,30354,36283,44095,31624,47418,39589
2,2,34600,38177,48359,30873,33090,45322
3,1,47848,44514,30183,32708,40442,37706
2,2,41153,41735,42152,40286,30578,41374
2,1,40819,34237,32598,39691,48041,35722
3,2,48379,43432,31462,45492,32832,31047
1,1,44237,38651,43661,44854,33299,48478
2,2,47137,37899,41159,37557,41444,34868
1,1,42297,34198,30610,41229,31474,38719
2,3,39024,49077,49472,46495,37182,49664
3,2,35185,30836,30888,47554,38559,36448
1,1,33294,46008,35907,42890,40318,33573
2,2,32630,41669,33857,38118,42433,34201
2,3,45154,39123,37467,37636,32065,32582
1,2,34574,33739,42382,44502,42576,45664
3,1,39576,31924,47940,33125,31004,32485
2,1,48891,49269,45451,30519,49733,40170
2,1,33396,33588,34916,44890,31523,34131
1,2,43010,39204,46113,33429,46445,37310
1,1,39529,49592,43086,39175,38091,31554
1,1,30349,44509,35219,40713,41224,42091
1,3,37494,41439,30581,47166,43949,47959
3,1,32316,30729,41303,38556,48849,43115
1,3,36144,47434,45701,44504,37881,37030
3,1,32442,45111,35423,47474,32566,36165
2,2,44976,42001,36274,37201,33994,31337
1,1,41808,46939,31955,38498,47049,42359
2,3,32855,38443,33922,45446,31277,46729
1,3,46850,38562,45813,37120,46738,49881
2,2,45954,47691,47301,30573,37435,44362
3,1,30780,45196,35017,45932,43461,37979
2,1,47970,40548,47765,31463,38091,48351
3,2,38881,38912,30554,47071,31439,41678
